Monat,Brand,Influencer,Zuständigkeit,Channel,Content,Status,Story_Public_Date,Reminder_oder__Teaser?,Wann?,Preis,Est._Views,CPM,Link_Klicks,Real_Views,Umsatz,ROAS,Beworbenes__Produkt
April,TerraCanis,_moon_emma_,SB,ig,story inkl. rem.,done,2025-04-16,reminder,2025-04-19,300.0,15.0,20.0,,,,,
April,TerraCanis,thara.vive,SB,ig,story inkl. rem.,done,2025-04-16,reminder,2024-04-19,400.0,12.0,33.0,,,,,
April,Bauhaus,tina_mom_91,LS,ig,story,done,2024-04-17,nichts,,250.0,12.0,21.0,,,,,
April,305 Care,karolina.deiss ,SB,ig,story inkl. rem.,done,2025-04-17,reminder,2025-04-19,1.7,50.0,34.0,,,,,
April,Vonmählen,vikistr,LS,ig,story inkl. rem.,posted,2025-04-17,reminder,2025-04-21,500.0,9.0,56.0,,,,,
April,305 Care,rosarotundhimmlischblau,SB,ig,story inkl. rem.,done,2025-04-18,reminder,2025-04-23,650.0,20.0,33.0,,,,,
April,Bauhaus,_nativita_,LS,ig,story inkl. rem.,done,2025-04-17,reminder,2025-04-19,1.1,30.0,37.0,,,,,
April,TerraCanis,eva.besserer,SB,ig,story inkl. rem.,done,2024-04-19,reminder,2024-04-24,400.0,13.0,31.0,,,,,
April,TerraCanis,hannahsitte,SB,ig,story inkl. rem.,done,2025-04-22,reminder,2025-04-25,350.0,12.0,29.0,,,,,
April,IOS,benkauer,JT,ig,story,done,2025-04-22,reminder,2025-04-28,3.0,72.0,42.0,,,,,
April,TerraCanis,2.be.good.dads,SB,ig,story inkl. rem.,done,2025-04-23,reminder,2025-04-28,1.35,40.0,34.0,,,,,
April,Bauhaus,tina_mom_91,LS,ig,story,posted,2025-04-24,nichts,,250.0,12.0,21.0,,,,,
April,Bauhaus,buildmyhomebytm,LS,ig,story inkl. rem.,posted,2025-04-24,reminder,2025-04-27,600.0,20.0,30.0,,,,,
April,Bauhaus,eigenheimliebe,LS,ig,story inkl. rem.,posted,2025-04-24,reminder,,1.45,,,,,,,
April,Zahnheld,10imGlück,SB,ig,story inkl. rem.,done,2025-04-24,reminder,2025-04-26,3.0,95.0,32.0,,,,,
April,Zahnheld,_moon_emma_,SB,ig,story inkl. rem.,done,2025-04-25,reminder,2025-04-28,400.0,15.0,27.0,,,,,
April,305 Care,sandraundbetty,SB,ig,story inkl. rem.,done,2025-04-26,reminder,2025-04-29,630.0,15.0,42.0,,,,,
April,Zahnheld,nikisbeautychannel,LS,ig,story inkl. rem.,done,2025-04-26,reminder,2025-04-29,350.0,11.0,32.0,,,,,
April,Zahnheld,paulina_sophiee,JT,ig,story inkl. rem.,done,2025-04-28,reminder,2025-04-30,550.0,10.0,,,,,,
April,Zahnheld,sarahklefisch ,SB,ig,story inkl. rem.,posted,2025-04-28,reminder,2025-05-02,1.8,40.0,45.0,,,,,
April,Hydraid,hello.its.me.anni,LB,ig,story inkl. rem.,done,2025-04-29,reminder,2025-05-06,240.0,8.0,30.0,,,,,
April,Hydraid,princessmaikelea,LS,ig,story,done,2025-04-29,nichts,,600.0,,,,,,,
April,IOS,fashionik,DP,ig,story inkl. rem.,done,2025-04-27,reminder,2025-05-04,150.0,4.75,32.0,,,,,
April,IOS,Papas.im.Glück,DP,ig,story inkl. rem.,done,2025-04-27,reminder,2025-04-29,500.0,14.665,34.0,,,,,
April,Rudelkönig,miss_schumiiiiandfamily,DP,ig,story inkl. rem.,posted,2025-04-11,reminder,2025-04-19,900.0,24.2,37.0,,,,,Kofferraumschutz
April,Rudelkönig,buntehunde,DP,ig,story inkl. rem.,posted,2025-04-20,reminder,2025-04-23,400.0,22.0,18.0,,,,,Kofferraumschutz
April,Rudelkönig,linaandthewild,DP,ig,story,posted,2025-04-21,nichts,,0.0,,,,,,,2x Hundegeschirr Paola 
April,Rudelkönig,jano.nero.matilda,DP,ig,story inkl. rem.,posted,2025-04-21,reminder,2025-04-23,250.0,8.555,29.0,,,,,Kofferraumschutz
April,Rudelkönig,aussie_selfie,DP,ig,story inkl. rem.,posted,2025-04-21,reminder,2025-04-24,80.0,2.11,38.0,,,,,Kofferraumschutz
April,Rudelkönig,selinapiecuch,DP,ig,story,posted,2025-04-23,nichts,,550.0,27.0,20.0,,,,,Kofferraumschutz
April,Rudelkönig,mamiplatz,DP,ig,story inkl. rem.,posted,2025-04-25,reminder,2025-04-28,1.1,25.0,44.0,,,,,Kofferraumschutz
April,Rudelkönig,Giulia Groth,DP,ig,story inkl. rem.,posted,2025-04-23,reminder,2025-04-26,700.0,51.38,14.0,,,,,Kofferraumschutz
,Vonmählen,myhorsediary,JT,ig,story,,,nichts,,,,,,,,,
April,KikiKoala,reiterhofd.henn,JT,ig,story,on hold,2025-04-09,nichts,,150.0,8.0,19.0,,,,,
April,KikiKoala,tina_mom_91,LS,ig,story,on hold,2025-04-14,nichts,,300.0,12.0,25.0,,,,,
April,KikiKoala,kathiwagener,JT,ig,story,on hold,2025-04-10,nichts,,100.0,18.0,6.0,,,,,
April,KikiKoala,homeheartmade,JT,ig,story,on hold,2025-04-07,nichts,,3.0,75.0,40.0,,,,,
April,KikiKoala,stephis.familienleben,LS,ig,story inkl. rem.,on hold,2025-04-08,reminder,2025-04-11,400.0,13.0,31.0,,,,,
April,KikiKoala,paulina_sophiee,JT,ig,story inkl. rem.,on hold,2025-04-21,reminder,2025-04-25,550.0,,,,,,,
March,Bauhaus,fashionkitchen,LS,ig,story inkl. rem.,not posted,2025-03-06,reminder,2025-03-10,450.0,13.0,35.0,,,,,
March,Bauhaus,mrslavieestbelle,LS,ig,story inkl. rem.,tbd,2025-03-20,reminder,2025-03-23,660.0,20.0,33.0,,,,,
,Bauhaus,miss_schumiiiiandfamily,LS,ig,story inkl. rem.,tbd,,reminder,,900.0,,,,,,,
April,TerraCanis,djangoholly_crazy_greek_dogs,SB,ig,story inkl. rem.,done,2025-04-24,reminder,2025-04-28,0.0,,,,,,,
,Zahnheld,fashionkitchen,LS,ig,story inkl. rem.,tbd,,reminder,,450.0,13.0,35.0,,,,,
,TERRACanis,fraulein_flausenimkopf ,,,,,,,,250.0,10.0,25.0,,,,,
May,Vonmählen,nathis_lifestyle,LS,ig,story,done,2025-05-01,nichts,,,1.5,,,,,,
May,Rudelkönig,paulina_sophiee,SB,ig,story inkl. rem.,done,2025-05-01,reminder,2025-05-08,570.0,10.0,57.0,,,,,"Emma Set, Hundepfeife Kunststoff, Seilspielzeug, Keramikschale doppelpack"
May,Rudelkönig,janinakindt,SB,ig,story inkl. rem.,done,2025-05-03,reminder,2025-05-06,300.0,14.0,21.0,,,,,
May,Zahnheld,einfach.stephi,LS,ig,story inkl. rem.,done,2025-05-05,reminder,2025-05-08,300.0,10.0,30.0,,,,,
May,Zahnheld,traumjob.mama,JT,ig,story inkl. rem.,done,2025-05-05,reminder,2025-05-07,2.8,20.0,140.0,,,3.274,117.0,
May,TerraCanis,kikidoyouloveme,SB,ig,story,done,2025-05-05,nichts,,6.0,150.0,40.0,,,,,
May,Zahnheld,eigenheimliebe,JT,ig,story inkl. rem.,done,2025-05-05,reminder,2025-05-07,1.4,,,,,,,
May,Zahnheld,zuckerwattenwunder,LS,ig,story inkl. rem.,done,2025-05-05,reminder,2025-05-12,1.2,30.0,40.0,,,,,
May,TerraCanis,die.reuters,SB,ig,story inkl. rem.,done,2025-05-06,reminder,2025-05-09,700.0,25000.0,28.0,,,,,
May,Zahnheld,janinakindt,SB,ig,story inkl. rem.,done,2025-05-06,reminder,2025-05-10,300.0,14.0,21.0,,,,,
May,Bauhaus,der_flory,JT,ig,story,done,2025-05-08,nichts,,450.0,,,,,,,
May,Bauhaus,Feli_liebt_3_maenner,LS,ig,story inkl. rem.,done,2025-05-08,reminder,2025-05-11,600.0,20.0,30.0,,,,,
May,Bauhaus,builtmyhomebytm,LS,ig,story inkl. rem.,done,2025-05-08,reminder,2025-05-11,600.0,20.0,30.0,,,,,
May,Bauhaus,jennifer.wittenberger,LS,ig,story inkl. rem.,done,2025-05-08,reminder,2025-05-11,450.0,14.0,32.0,,,,,
May,Bauhaus,tina_mom_91,LS,ig,story,done,2025-05-08,nichts,,250.0,12.0,21.0,,,,,
May,305 Care,jess___blog ,SB,ig,story inkl. rem.,done,2025-05-09,reminder,2025-05-13,1.0,28.0,36.0,,,,,
May,Zahnheld,femily.hashtagt,JT,ig,story inkl. rem.,done,2025-05-10,reminder,2025-05-12,2.8,60.0,47.0,,,,,
May,Vonmählen,joanaslichtpoesie,JT,ig,story,done,2025-05-11,nichts,,2.35,,,,,,,
May,Hydraid,verenas_mamablog,LB,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-19,100.0,,,,,,,
May,Rudelkönig,Eigenheimliebe,SB,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-14,1.47,,,,,,,
May,Zahnheld,_nativita_,LS,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-14,1.1,30.0,37.0,,,,,
May,TerraCanis,ninakaempf,SB,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-15,1.9,45.0,42.0,,,,,
May,IEA,jacqueline.b_,LS,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-15,250.0,8.0,31.0,,,,,
May,Rudelkönig,justabout.sabrina,DP,ig,story inkl. rem.,done,2025-05-12,reminder,2025-05-15,1.1,22.7,48.0,,,,,Kofferraumschutz
May,IEA,feli_liebt_3_maenner,LS,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-15,600.0,,,,,,,
May,Vonmählen,lisaschnapa,LS,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-15,500.0,14.0,36.0,,,,,
May,IEA,labellove84,LS,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-19,200.0,7.0,29.0,,,,,
May,Vonmählen,jennifer.wittenberger,LS,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-19,450.0,14.0,32.0,,,,,
May,IEA,verenas_mamablog,LS,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-17,120.0,7.0,17.0,,,,,
May,TerraCanis,janinakindt,SB,ig,story inkl. rem.,done,2025-05-13,reminder,2025-05-17,300.0,14.0,21.0,,,,,
May,Zahnheld,mrslavieestbelle,LS,ig,story inkl. rem.,done,2025-05-14,reminder,2025-05-19,660.0,20.0,33.0,,,,,
May,TerraCanis,_moon_emma_,SB,ig,story inkl. rem.,done,2025-05-14,reminder,2025-05-17,300.0,15.0,20.0,,,,,
May,girlgotlashes,dobbyundjo,JT,ig,story inkl. rem.,done,2025-05-14,reminder,2025-05-19,1.6,,,,,,,
May,girlgotlashes,nil.sahin,JT,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-18,1.6,,,,,,,
May,Zahnheld,aenna.xoxo,JT,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-18,800.0,17.5,46.0,,,,,
May,IEA,einfach.stephi,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-18,300.0,10.0,30.0,,,,,
May,Vonmählen,vivien_rich_,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-17,900.0,30.0,30.0,,,,,
May,Bauhaus,elena.schmitz__,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-19,500.0,17.0,29.0,,,,,
May,Bauhaus,dekokrams,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-19,900.0,30.0,30.0,,,,,
May,Bauhaus,geliebtes_hus,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-19,700.0,20.0,35.0,,,,,
May,Bauhaus,sarah.fbr,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-19,400.0,10.0,40.0,,,,,
May,Bauhaus,mrslavieestbelle,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-19,660.0,20.0,33.0,,,,,
May,Hydraid,sophiavanlaak,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-21,400.0,10.0,40.0,,8.0,,,
May,TerraCanis,djangoholly_crazy_greek_dogs,SB,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-23,0.0,,,,,,,
May,Vonmählen,erdbeerzwergerl,LS,ig,story inkl. rem.,done,2025-05-15,reminder,2025-05-25,200.0,7.0,29.0,,,,,
May,Hydraid,me__lanie__,LB,ig,story inkl. rem.,done,2025-05-16,reminder,2025-05-21,500.0,15.0,33.0,,,,,
May,Vonmählen,verenas_mamablog,LS,ig,story inkl. rem.,done,2025-05-16,reminder,2025-05-20,120.0,7.0,17.0,,,,,
May,Vonmählen,zuckerwattenwunder,LS,ig,story inkl. rem.,done,2025-05-16,reminder,2025-05-20,1.2,30.0,40.0,,,,,
May,TerraCanis,jess___blog ,SB,ig,story inkl. rem.,done,2025-05-17,reminder,2025-05-19,1.0,28.0,36.0,,,,,
May,girlgotlashes,my_beautyful_things,SB,ig,story inkl. rem.,done,2025-05-18,reminder,2025-05-21,0.0,,,,,,,
May,TerraCanis,eva.besserer,SB,ig,story inkl. rem.,done,2025-05-18,reminder,2025-05-21,400.0,13.0,31.0,,,,,
May,Zahnheld,Feli_liebt_3_maenner,LS,ig,story inkl. rem.,done,2025-05-19,reminder,2025-05-22,600.0,20.0,30.0,,,,,
May,TerraCanis,marie.znowhite,SB,ig,story inkl. rem.,done,2025-05-24,reminder,2025-05-26,150.0,5000.0,30.0,,,,,
May,Vonmählen,labellove84,LS,ig,story inkl. rem.,done,2025-05-20,reminder,2025-05-25,,,,,,,,
May,girlgotlashes,sandra.sicora,SB,ig,story inkl. rem.,done,2025-05-20,reminder,2025-05-22,1.5,,,,,,,
May,Vonmählen,mrslavieestbelle,LS,ig,story inkl. rem.,done,2025-05-20,reminder,2025-05-26,600.0,20.0,30.0,,,,,
May,IEA,tina_mom_91,LS,ig,story inkl. rem.,done,2025-05-21,reminder,2025-05-26,450.0,12.0,38.0,,,,,
May,TerraCanis,hannahsitte,SB,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-25,350.0,12.0,29.0,,,,,
May,TerraCanis,thara.vive,SB,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-25,400.0,12.0,33.0,,,,,
May,TerraCanis,lisarrey,SB,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-26,4.5,154.0,29.0,,,,,
May,TerraCanis,vera_intveen,SB,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-26,1.25,27.0,46.0,,,,,
May,Hydraid,alessiamoves,LS,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-28,200.0,8.0,25.0,,,,,
May,Bauhaus,nohi.loves.eli,LS,ig,story inkl. rem.,done,2025-05-22,reminder,,400.0,10.0,40.0,,,,,
May,Bauhaus,traumhausprojekt.runie,LS,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-25,1.0,25.0,40.0,,,,,
May,Bauhaus,innerbeyouty,LS,ig,story inkl. rem.,done,2025-05-22,reminder,2025-05-25,650.0,,,,,,,
May,Vonmählen,mias_secrets,LS,ig,story inkl. rem.,done,2025-05-22,reminder,,875.0,,,,,,,
May,Rudelkönig,luisamerkentrup,DP,ig,story inkl. rem.,done,2025-05-24,reminder,2025-05-27,950.0,21.0,45.0,,,,,
May,Rudelkönig,lauralehmannofficial,DP,ig,story inkl. rem.,done,2025-05-24,reminder,2025-05-26,1.3,34.7,37.0,,,,,Kofferraumschutz
May,IOS,tschossl,DP,ig,story inkl. rem.,done,2025-05-24,reminder,2025-05-20,800.0,36.6,22.0,,,,,
May,305 Care,marisa.hofmeister,SB,ig,story inkl. rem.,done,2025-05-25,reminder,2025-05-26,1.8,35.0,51.0,,,,,
May,Zahnheld,labellove84,LS,ig,story inkl. rem.,done,2025-05-26,nichts,,200.0,7.0,29.0,,,,,
May,IOS,papaundpapi,DP,ig,story inkl. rem.,done,2025-05-29,reminder,2025-06-03,850.0,45.0,19.0,,,,,
May,Vonmählen,geliebtes_hus,LS,ig,story inkl. rem.,done,2025-05-26,reminder,2025-05-28,700.0,20.0,35.0,,,,,
May,Vonmählen,Feli_liebt_3_maenner,LS,ig,story inkl. rem.,done,2025-05-28,reminder,2025-05-31,600.0,20.0,30.0,,,,,
May,girlgotlashes,verenas_mamablog,DP,ig,story inkl. rem.,done,2025-05-27,reminder,2025-05-30,200.0,5.0,40.0,,,,,
May,IOS,2.be.good.dads,JT,ig,story inkl. rem.,done,2025-05-31,reminder,2025-06-02,1.5,40.0,38.0,,,,,
5,Rudelkönig,siberian_husky_power,DP,ig,story inkl. rem.,done,,reminder,,0.0,1.3,0.0,,,,,
5,Rudelkönig,siberian_husky_power,DP,tiktok,tiktok,done,,nichts,,0.0,5.0,0.0,,,,,
May,girlgotlashes,gloria.glumac,DP,ig,story inkl. rem.,done,2025-05-29,reminder,2025-05-31,1.1,128.844,9.0,,,,,
May,girlgotlashes,katemerlan,DP,ig,story inkl. rem.,done,2025-05-28,reminder,2025-05-30,1.0,65.446,15.0,,,,,
May,IEA,janinasarahwestphal,LB,ig,story inkl. rem.,done,2025-05-31,reminder,2025-06-04,1.3,35.0,37.0,1.408,30.0,1.489,115.0,Migränemaske
,TBD/Noch unklar/Feedback ausstehend,,,,,,,,,,,,,,,,
,KikiKoala,traumjob.mama,JT,ig,story inkl. rem.,tbd,,reminder,,2.7,,,,,,,
,Zahnheld,Jill Lange,SB,ig,story inkl. rem.,planned,,reminder,,3.0,95.0,32.0,,,,,Schallzahnbürste
June,Vonmählen,lilawolke_testet,LS,ig,story inkl. rem.,done,2025-06-02,reminder,2025-06-05,500.0,15.0,33.0,41200.0,15.0,7393.0,15.0,Evergreen Mag
June,TerraCanis,ninakaempf,SB,ig,story inkl. rem.,done,2025-06-02,reminder,2025-06-05,1.9,45.0,42.0,,,,,Hundefutter allgemein
June,Vonmählen,susanne_twentytwoplotts,LS,ig,story inkl. rem.,done,2025-06-02,reminder,2025-06-06,525.0,15.0,35.0,25500.0,,18148.0,35.0,Evergreen Mag
June,Zahnheld,labellove84,LS,ig,story,done,2025-06-02,nichts,,100.0,7.0,0.0,,,,,
June,Vonmählen,claudiafie,LS,ig,story inkl. rem.,done,2025-06-03,reminder,,150.0,3.0,50.0,6800.0,,0.0,0.0,Evergreen Mag
June,IOS,patrickheckl,JT,ig,story inkl. rem.,done,2025-06-03,reminder,2025-06-15,1.4,50.0,28.0,,,,,IOS Suit
June,girlgotlashes,jennamiller,JT,ig,story inkl. rem.,done,2025-06-04,reminder,2025-06-11,6.5,,,,,,,Wimpernset
June,IEA,claudiafie,LB,ig,story inkl. rem.,done,2026-06-04,reminder,2025-06-10,130.0,3.0,43.0,2000.0,,0.0,0.0,Insektenstichheiler + Migränemaske
June,Bauhaus,dahoam_mit_herz,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-08,450.0,15.0,30.0,,,,,
June,Bauhaus,hausnr_8,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-07,400.0,10.0,40.0,,,,,
June,Bauhaus,werbauteinhaus,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-10,300.0,6.0,50.0,,,,,
June,Bauhaus,builtmyhomebytm,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-08,600.0,20.0,30.0,,,,,
June,Bauhaus,villa.v.interieur,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-09,500.0,13.0,38.0,,,,,
June,Bauhaus,tina_mom_91,LS,ig,story,done,2025-06-05,nichts,,250.0,12.0,21.0,,,,,
June,Bauhaus,home_and_interior,LS,ig,story inkl. rem.,done,2025-06-05,reminder,2025-06-09,900.0,25.0,36.0,,,,,
June,Hydraid,princessmaikelea,JT,ig,story,done,2025-06-06,nichts,,600.0,,,,,,,Starter Set
June,Hydraid,lenaschreiber,LB,ig,story inkl. rem.,done,2025-06-06,reminder,2025-06-17,800.0,13.0,62.0,,,,,
June,IEA,jennifer.wittenberger,LS,ig,story inkl. rem.,done,2025-06-10,reminder,,450.0,14.0,32.0,,,,,
June,IEA,Giulia Groth,LB,ig,story inkl. rem.,done,2025-06-10,reminder,2025-06-17,800.0,40.0,20.0,,,,,
June,IEA,_babsi_ba,LB,ig,story inkl. rem.,done,2025-06-10,reminder,2025-06-16,500.0,13.0,38.0,,,,,
June,Vonmählen,sarah.fbr,LS,ig,story inkl. rem.,done,2025-06-10,reminder,2025-06-17,400.0,10.0,40.0,289.0,7.8,20164.0,50.0,
June,TerraCanis,janinakindt,SB,ig,story inkl. rem.,done,2025-06-12,reminder,2025-06-15,300.0,14.0,21.0,,,,,Hundefutter allgemein
June,Vonmählen,paulina_sophiee,LS,ig,story inkl. rem.,done,2025-06-10,reminder,2025-06-17,550.0,10.0,55.0,23700.0,6.0,8727.0,16.0,
June,TerraCanis,jess___blog ,SB,ig,story inkl. rem.,done,2025-06-11,reminder,2025-06-14,1.0,28.0,36.0,,,,,Hundefutter allgemein
June,IEA,heikegerkrath,LB,ig,story inkl. rem.,done,2025-06-11,reminder,2025-06-17,200.0,4.0,50.0,,,,,
June,TerraCanis,_moon_emma_,SB,ig,story inkl. rem.,done,2025-06-11,reminder,2025-06-14,300.0,15.0,20.0,,,,,Hundefutter allgemein
June,Zahnheld,patrickheckl,LS,ig,story inkl. rem.,done,2025-06-12,reminder,2025-06-14,1.4,50.0,28.0,,,,,Schallzahnbürste
June,Vonmählen,femily.hashtagt,LS,ig,story inkl. rem.,done,2025-06-12,reminder,2025-06-19,2.5,60.0,42.0,,,,,
June,Bauhaus,tina_mom_91,LS,ig,story inkl. rem.,done,2025-06-12,reminder,,250.0,12.0,21.0,,,,,
June,Zahnheld,miss_schumiiiandfamily,LS,ig,story inkl. rem.,done,2025-06-13,reminder,2025-06-16,900.0,25.0,36.0,,20.0,,,
June,girlgotlashes,curvywelt,DP,ig,story inkl. rem.,done,2025-06-13,reminder,2025-06-16,350.0,12.692,28.0,,,,,
June,IOS,alexperiences,JT,ig,story inkl. rem.,done,2025-06-07,reminder,2025-06-09,300.0,8.0,38.0,,,,,
June,Vonmählen,labellove84,LS,ig,story,done,2025-06-15,nichts,,,,,,,,,
June,TerraCanis,die.reuters,SB,ig,story inkl. rem.,done,2025-06-15,reminder,2025-06-18,700.0,25.0,28.0,,,,,Hundefutter allgemein
June,TerraCanis,mrs.tews,SB,ig,story inkl. rem.,done,2025-06-15,reminder,2025-06-18,1.15,30000.0,38.0,,,,,Hundefutter allgemein
June,Hydraid,kerstincolucci,LB,ig,story inkl. rem.,done,2025-06-16,reminder,2025-06-23,150.0,3.5,43.0,,,,,
June,TerraCanis,marie.znowhite,SB,ig,story inkl. rem.,done,2025-06-17,reminder,2025-06-20,150.0,5.0,30.0,,,,,Hundefutter allgemein
June,Hydraid,alessiamoves,LS,ig,story inkl. rem.,done,2025-06-17,reminder,2025-06-20,200.0,8.0,25.0,,,,,
June,girlgotlashes,kathi_on_her_journey,DP,ig,story inkl. rem.,done,2025-06-17,reminder,2025-06-21,400.0,16.571,24.0,,,,,Wimpernset
June,IOS,two.moms.one.journey,JT,ig,story inkl. rem.,done,2025-06-23,reminder,2025-06-25,450.0,14.0,32.0,,,,,
June,Vonmählen,travelista.aa,LS,ig,story,done,2025-06-17,nichts,,0.0,5.0,0.0,,,,,
June,Vonmählen,vika.rusch,LS,ig,story,done,2025-06-18,nichts,,0.0,1.0,0.0,,,,,
June,Hydraid,sophiavanlaak,LS,ig,story inkl. rem.,done,2025-06-18,reminder,2025-06-25,550.0,10.0,55.0,,8.6,,,
June,girlgotlashes,fashionkitchen,DP,ig,story inkl. rem.,done,2025-06-18,reminder,2025-06-21,400.0,11.563,35.0,,,,,Wimpernset
June,Zahnheld,karolina.deiss ,SB,ig,story inkl. rem.,done,2025-06-19,reminder,2025-06-21,1.7,50.0,34.0,,,,,Schallzahnbürste
June,TerraCanis,djangoholly_crazy_greek_dogs,SB,ig,story inkl. rem.,done,2025-06-19,reminder,2025-06-25,,,,,,,,Hundefutter allgemein
June,girlgotlashes,cassycassau,SB,ig,story inkl. rem.,done,2025-06-20,reminder,,,,,,,,,Wimpernset
June,TerraCanis,vera_intveen,SB,ig,story inkl. rem.,done,2025-06-20,reminder,2025-06-27,1.25,27.0,46.0,,,,,Hundefutter allgemein
June,girlgotlashes,sandra.sicora,SB,ig,story inkl. rem.,done,2025-06-21,reminder,2025-06-23,1.5,,,,,,,Wimpernset
June,girlgotlashes,kathiwagener,DP,ig,story inkl. rem.,done,2025-06-25,reminder,2025-07-01,800.0,16.0,50.0,,,,,Wimpernset
June,Hydraid,running.ronja,LB,ig,story inkl. rem.,done,2025-06-23,reminder,,500.0,10.0,50.0,,,,,
June,girlgotlashes,my_beautyful_things,SB,ig,story inkl. rem.,done,2025-06-23,reminder,2025-06-26,0.0,,,,,,,Wimpernset
June,Hydraid,stephie_esspunkt,LB,ig,story inkl. rem.,done,2025-06-25,reminder,2025-06-30,0.0,90000.0,0.0,,,,,
June,Zahnheld,_moon_emma_,SB,ig,story inkl. rem.,done,2025-06-25,reminder,2025-06-27,400.0,15.0,27.0,,,,,Schallzahnbürste
